"","V1","District Name","District Name2","District Name3","County Name (District).x","District Type (District).x","Enrollment (District).x","Enrollment (County)","Enrollment (State)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Total Gen Fund Revenues (District)","Total Gen Fund Revenues (State)","Total Gen Fund Revenues Per Student (District)","Total Gen Fund Expenditures (District)","Total Gen Fund Expenditures Per Student (District)","County Name (District).y","District Type (District).y","City (District)","CDS Number (District)","Enrollment (District).y","p_CohortGraduates","CohortDropouts","p_CohortDropouts","CohortGraduates","CAASPPMATH","CAASPPELA","TGFExp","TGFExpPS","TGFRev","TGFRevPS","GENLOCALREVPS","GENSTATEREVPS","FEDREVPS","Zscore"
"103","103","Pope Valley Union Elementary (Napa)","Pope Valley Union Elementary","Pope Valley Union Elementary School District","Napa","Elementary School District",58,20562,6228235,"23161","1303598",66666947122,"23797","1334484","24361","Napa","Elementary School District","Pope Valley","28-66282-0000000",58,NA,NA,NA,NA,7.1,21.4,1334484,24361,1303598,23797,453,982,464,1.22076498780698
"104","104","Portola Valley Elementary (San Mateo)","Portola Valley Elementary","Portola Valley Elementary School District","San Mateo","Elementary School District",627,95620,6228235,"22860","14422438",66666947122,"23833","14653981","24215","San Mateo","Elementary School District","Portola Valley","41-68981-0000000",627,NA,NA,NA,NA,81.2,83.6,14653981,24215,14422438,23833,4128,1064,230,1.2257860654035
"105","105","Ravenswood City Elementary (San Mateo)","Ravenswood City Elementary","Ravenswood City Elementary School District","San Mateo","Elementary School District",3853,95620,6228235,"16282","47615071",66666947122,"16403","48653618","16761","San Mateo","Elementary School District","East Palo Alto","41-68999-0000000",3853,NA,NA,NA,NA,12.7,19.6,48653618,16761,47615071,16403,2815,1419,981,0.189491439232862
"106","106","Redwood City Elementary (San Mateo)","Redwood City Elementary","Redwood City Elementary School District","San Mateo","Elementary School District",8987,95620,6228235,"12315","98156029",66666947122,"12869","97315049","12759","San Mateo","Elementary School District","Redwood City","41-69005-0000000",8987,NA,NA,NA,NA,38.9,47.2,97315049,12759,98156029,12869,974,965,670,-0.303411011492176
"107","107","Reed Union Elementary (Marin)","Reed Union Elementary","Reed Union Elementary School District","Marin","Elementary School District",1530,33633,6228235,"13771","21992698",66666947122,"14859","21472083","14507","Marin","Elementary School District","Tiburon","21-65425-0000000",1530,NA,NA,NA,NA,79,81.9,21472083,14507,21992698,14859,3572,1049,203,-0.0258569999067699
"108","108","Rincon Valley Union Elementary (Sonoma)","Rincon Valley Union Elementary","Rincon Valley Union Elementary School District","Sonoma","Elementary School District",3552,70940,6228235,"10845","41012737",66666947122,"13358","38509455","12542","Sonoma","Elementary School District","Santa Rosa","49-70896-0000000",3552,NA,NA,NA,NA,48,59.2,38509455,12542,41012737,13358,2344,1085,404,-0.235208040806114
"109","109","Roseland (Sonoma)","Roseland","Roseland Elementary School District","Sonoma","Elementary School District",2852,70940,6228235,"18963","30716205",66666947122,"20985","28119030","19211","Sonoma","Elementary School District","Santa Rosa","49-70904-0000000",2852,NA,NA,NA,NA,31.1,31.7,28119030,19211,30716205,20985,8204,1510,758,0.828563037767702
"110","110","Ross Elementary (Marin)","Ross Elementary","Ross Elementary School District","Marin","Elementary School District",383,33633,6228235,"18724","7648720",66666947122,"20729","7056964","19126","Marin","Elementary School District","Ross","21-65433-0000000",383,NA,NA,NA,NA,79.3,87.2,7056964,19126,7648720,20729,7273,1195,233,0.792857597081338
"111","111","Ross Valley Elementary (Marin)","Ross Valley Elementary","Ross Valley Elementary School District","Marin","Elementary School District",2233,33633,6228235,"11299","25705366",66666947122,"12039","24776671","11604","Marin","Elementary School District","San Anselmo","21-75002-0000000",2233,NA,NA,NA,NA,71.2,79.9,24776671,11604,25705366,12039,2959,986,268,-0.419174744967496
"112","112","Saint Helena Unified (Napa)","Saint Helena Unified","Saint Helena Unified School District","Napa","Unified School District",1199,20562,6228235,"23574","31608893",66666947122,"26243","29085885","24148","Napa","Unified School District","St. Helena","28-66290-0000000",1199,NA,NA,NA,NA,49.8,64,29085885,24148,31608893,26243,972,1882,385,1.56191931561497
"113","113","San Bruno Park Elementary (San Mateo)","San Bruno Park Elementary","San Bruno Park Elementary School District","San Mateo","Elementary School District",2669,95620,6228235,"10321","27959372",66666947122,"11022","28659444","11298","San Mateo","Elementary School District","San Bruno","41-69013-0000000",2669,NA,NA,NA,NA,47.8,49.7,28659444,11298,27959372,11022,846,991,480,-0.561020187069184
"114","114","San Carlos Elementary (San Mateo)","San Carlos Elementary","San Carlos Elementary School District","San Mateo","Elementary School District",3516,95620,6228235,"11564","35657540",66666947122,"11707","35936615","11798","San Mateo","Elementary School District","San Carlos","41-69021-0000000",3516,NA,NA,NA,NA,73.5,77,35936615,11798,35657540,11707,2179,1161,231,-0.465480238357624
"115","115","San Francisco Unified (San Francisco)","San Francisco Unified","San Francisco Unified School District","San Francisco","Unified School District",60133,60748,6228235,"12148","769888832",66666947122,"15169","753750697","14851","San Francisco","Unified School District","San Francisco","38-68478-0000000",60133,NA,NA,NA,NA,51,54.6,753750697,14851,769888832,15169,3772,1164,615,0.0173800571743737
"116","116","San Jose Unified (Santa Clara)","San Jose Unified","San Jose Unified School District","Santa Clara","Unified School District",32004,273264,6228235,"12097","344043000",66666947122,"11674","369670159","12543","Santa Clara","Unified School District","San Jose","43-69666-0000000",32004,NA,NA,NA,NA,43.6,54.2,369670159,12543,344043000,11674,241,946,449,-0.470082892821101
"117","117","San Leandro Unified (Alameda)","San Leandro Unified","San Leandro Unified School District","Alameda","Unified School District",8638,226904,6228235,"11171","94675931",66666947122,"11514","94131379","11448","Alameda","Unified School District","San Leandro","01-61291-0000000",8638,NA,NA,NA,NA,25.6,38.8,94131379,11448,94675931,11514,774,1102,553,-0.492398793250078
"118","118","San Lorenzo Unified (Alameda)","San Lorenzo Unified","San Lorenzo Unified School District","Alameda","Unified School District",11739,226904,6228235,"11680","120640694",66666947122,"11906","122119988","12052","Alameda","Unified School District","San Lorenzo","01-61309-0000000",11739,NA,NA,NA,NA,23,31,122119988,12052,120640694,11906,624,1069,566,-0.437724837199084
"119","119","San Mateo-Foster City (San Mateo)","San Mateo-Foster City","San Mateo-Foster City Elementary School District","San Mateo","Elementary School District",11970,95620,6228235,"10151","131189781",66666947122,"11358","127236759","11016","San Mateo","Elementary School District","Foster City","41-69039-0000000",11970,NA,NA,NA,NA,54.9,59.9,127236759,11016,131189781,11358,1377,924,317,-0.514156796168331
